Logging to Codes/train/MNISTFLlogs\1113baseline_outbits2.log
[2024-11-13 17:32:02] Round 1/10 started
[2024-11-13 17:32:04] Training step 64
[2024-11-13 17:32:04] Training step 65
[2024-11-13 17:32:04] Training step 66
[2024-11-13 17:32:04] Training step 67
[2024-11-13 17:32:04] Training step 68
[2024-11-13 17:32:04] Training step 69
[2024-11-13 17:32:04] Training step 70
[2024-11-13 17:32:04] Training step 71
[2024-11-13 17:32:04] Training step 72
[2024-11-13 17:32:04] Training step 73
[2024-11-13 17:32:04] Training step 74
[2024-11-13 17:32:04] Training step 75
[2024-11-13 17:32:04] Training step 76
[2024-11-13 17:32:04] Training step 77
[2024-11-13 17:32:04] Training step 78
[2024-11-13 17:32:04] Training step 79
[2024-11-13 17:32:04] Training step 80
[2024-11-13 17:32:04] Training step 81
[2024-11-13 17:32:04] Training step 82
[2024-11-13 17:32:04] Training step 83
[2024-11-13 17:32:04] Training step 84
[2024-11-13 17:32:04] Training step 85
[2024-11-13 17:32:04] Training step 86
[2024-11-13 17:32:04] Training step 87
[2024-11-13 17:32:04] Training step 88
[2024-11-13 17:32:04] Training step 89
[2024-11-13 17:32:04] Training step 90
[2024-11-13 17:32:04] Training step 91
[2024-11-13 17:32:04] Training step 92
[2024-11-13 17:32:04] Training step 93
[2024-11-13 17:32:04] Training step 94
[2024-11-13 17:32:04] Training step 95
[2024-11-13 17:32:04] Training step 96
[2024-11-13 17:32:04] Training step 97
[2024-11-13 17:32:04] Training step 98
[2024-11-13 17:32:04] Training step 99
[2024-11-13 17:32:04] Training step 100
[2024-11-13 17:32:04] Training step 101
[2024-11-13 17:32:04] Training step 102
[2024-11-13 17:32:04] Training step 103
[2024-11-13 17:32:04] Training step 104
[2024-11-13 17:32:04] Training step 105
[2024-11-13 17:32:04] Training step 106
[2024-11-13 17:32:04] Training step 107
[2024-11-13 17:32:04] Training step 108
[2024-11-13 17:32:04] Training step 109
[2024-11-13 17:32:04] Training step 110
[2024-11-13 17:32:04] Training step 111
[2024-11-13 17:32:04] Training step 112
[2024-11-13 17:32:04] Training step 113
[2024-11-13 17:32:04] Training step 114
[2024-11-13 17:32:04] Training step 115
[2024-11-13 17:32:04] Training step 116
[2024-11-13 17:32:04] Training step 117
[2024-11-13 17:32:04] Training step 118
[2024-11-13 17:32:04] Training step 119
[2024-11-13 17:32:04] Training step 120
[2024-11-13 17:32:04] Training step 121
[2024-11-13 17:32:04] Training step 122
[2024-11-13 17:32:04] Training step 123
[2024-11-13 17:32:04] Training step 124
[2024-11-13 17:32:04] Training step 125
[2024-11-13 17:32:04] Training step 126
[2024-11-13 17:32:05] Training step 127
[2024-11-13 17:32:05] Training step 128
[2024-11-13 17:32:05] Training step 129
[2024-11-13 17:32:05] Training step 130
[2024-11-13 17:32:05] Training step 131
[2024-11-13 17:32:05] Training step 132
[2024-11-13 17:32:05] Training step 133
[2024-11-13 17:32:05] Training step 134
[2024-11-13 17:32:05] Training step 135
[2024-11-13 17:32:05] Training step 136
[2024-11-13 17:32:05] Training step 137
[2024-11-13 17:32:05] Training step 138
[2024-11-13 17:32:05] Training step 139
[2024-11-13 17:32:05] Training step 140
[2024-11-13 17:32:05] Training step 141
[2024-11-13 17:32:05] Training step 142
[2024-11-13 17:32:05] Training step 143
[2024-11-13 17:32:05] Training step 144
[2024-11-13 17:32:05] Training step 145
[2024-11-13 17:32:05] Training step 146
[2024-11-13 17:32:05] Training step 147
[2024-11-13 17:32:05] Training step 148
[2024-11-13 17:32:05] Training step 149
[2024-11-13 17:32:05] Training step 150
[2024-11-13 17:32:05] Training step 151
[2024-11-13 17:32:05] Training step 152
[2024-11-13 17:32:05] Training step 153
[2024-11-13 17:32:05] Training step 154
[2024-11-13 17:32:05] Training step 155
[2024-11-13 17:32:05] Training step 156
[2024-11-13 17:32:05] Training step 157
[2024-11-13 17:32:05] Training step 158
[2024-11-13 17:32:05] Training step 159
[2024-11-13 17:32:05] Training step 160
[2024-11-13 17:32:05] Training step 161
[2024-11-13 17:32:05] Training step 162
[2024-11-13 17:32:05] Training step 163
[2024-11-13 17:32:05] Training step 164
[2024-11-13 17:32:05] Training step 165
[2024-11-13 17:32:05] Training step 166
[2024-11-13 17:32:05] Training step 167
[2024-11-13 17:32:05] Training step 168
[2024-11-13 17:32:05] Training step 169
[2024-11-13 17:32:05] Training step 170
[2024-11-13 17:32:05] Training step 171
[2024-11-13 17:32:05] Training step 172
[2024-11-13 17:32:05] Training step 173
[2024-11-13 17:32:05] Training step 174
[2024-11-13 17:32:05] Training step 175
[2024-11-13 17:32:05] Training step 176
[2024-11-13 17:32:05] Training step 177
[2024-11-13 17:32:05] Training step 178
[2024-11-13 17:32:05] Training step 179
[2024-11-13 17:32:05] Training step 180
[2024-11-13 17:32:05] Training step 181
[2024-11-13 17:32:05] Training step 182
[2024-11-13 17:32:05] Training step 183
[2024-11-13 17:32:05] Training step 184
[2024-11-13 17:32:05] Training step 185
[2024-11-13 17:32:05] Training step 186
[2024-11-13 17:32:05] Training step 187
[2024-11-13 17:32:05] Training step 188
[2024-11-13 17:32:05] Training client 2
[2024-11-13 17:32:05] Training step 1
[2024-11-13 17:32:05] Training step 2
[2024-11-13 17:32:05] Training step 3
[2024-11-13 17:32:05] Training step 4
[2024-11-13 17:32:05] Training step 5
[2024-11-13 17:32:05] Training step 6
[2024-11-13 17:32:05] Training step 7
[2024-11-13 17:32:05] Training step 8
[2024-11-13 17:32:05] Training step 9
[2024-11-13 17:32:05] Training step 10
[2024-11-13 17:32:05] Training step 11
[2024-11-13 17:32:05] Training step 12
[2024-11-13 17:32:05] Training step 13
[2024-11-13 17:32:05] Training step 14
[2024-11-13 17:32:05] Training step 15
[2024-11-13 17:32:05] Training step 16
[2024-11-13 17:32:05] Training step 17
[2024-11-13 17:32:05] Training step 18
[2024-11-13 17:32:05] Training step 19
[2024-11-13 17:32:05] Training step 20
[2024-11-13 17:32:05] Training step 21
[2024-11-13 17:32:05] Training step 22
[2024-11-13 17:32:05] Training step 23
[2024-11-13 17:32:05] Training step 24
[2024-11-13 17:32:05] Training step 25
[2024-11-13 17:32:05] Training step 26
[2024-11-13 17:32:06] Training step 27
[2024-11-13 17:32:06] Training step 28
[2024-11-13 17:32:06] Training step 29
[2024-11-13 17:32:06] Training step 30
[2024-11-13 17:32:06] Training step 31
[2024-11-13 17:32:06] Training step 32
[2024-11-13 17:32:06] Training step 33
[2024-11-13 17:32:06] Training step 34
[2024-11-13 17:32:06] Training step 35
[2024-11-13 17:32:06] Training step 36
[2024-11-13 17:32:06] Training step 37
[2024-11-13 17:32:06] Training step 38
[2024-11-13 17:32:06] Training step 39
[2024-11-13 17:32:06] Training step 40
[2024-11-13 17:32:06] Training step 41
[2024-11-13 17:32:06] Training step 42
[2024-11-13 17:32:06] Training step 43
[2024-11-13 17:32:06] Training step 44
[2024-11-13 17:32:06] Training step 45
[2024-11-13 17:32:06] Training step 46
[2024-11-13 17:32:06] Training step 47
[2024-11-13 17:32:06] Training step 48
[2024-11-13 17:32:06] Training step 49
[2024-11-13 17:32:06] Training step 50
[2024-11-13 17:32:06] Training step 51
[2024-11-13 17:32:06] Training step 52
[2024-11-13 17:32:06] Training step 53
[2024-11-13 17:32:06] Training step 54
[2024-11-13 17:32:06] Training step 55
[2024-11-13 17:32:06] Training step 56
[2024-11-13 17:32:06] Training step 57
[2024-11-13 17:32:06] Training step 58
[2024-11-13 17:32:06] Training step 59
[2024-11-13 17:32:06] Training step 60
[2024-11-13 17:32:06] Training step 61
[2024-11-13 17:32:06] Training step 62
[2024-11-13 17:32:06] Training step 63
[2024-11-13 17:32:06] Training step 64
[2024-11-13 17:32:06] Training step 65
[2024-11-13 17:32:06] Training step 66
[2024-11-13 17:32:06] Training step 67
[2024-11-13 17:32:06] Training step 68
[2024-11-13 17:32:06] Training step 69
[2024-11-13 17:32:06] Training step 70
[2024-11-13 17:32:06] Training step 71
[2024-11-13 17:32:06] Training step 72
[2024-11-13 17:32:06] Training step 73
[2024-11-13 17:32:06] Training step 74
[2024-11-13 17:32:06] Training step 75
[2024-11-13 17:32:06] Training step 76
[2024-11-13 17:32:06] Training step 77
[2024-11-13 17:32:06] Training step 78
[2024-11-13 17:32:06] Training step 79
[2024-11-13 17:32:06] Training step 80
[2024-11-13 17:32:06] Training step 81
[2024-11-13 17:32:06] Training step 82
[2024-11-13 17:32:06] Training step 83
[2024-11-13 17:32:06] Training step 84
[2024-11-13 17:32:06] Training step 85
[2024-11-13 17:32:06] Training step 86
[2024-11-13 17:32:06] Training step 87
[2024-11-13 17:32:06] Training step 88
[2024-11-13 17:32:06] Training step 89
[2024-11-13 17:32:06] Training step 90
[2024-11-13 17:32:06] Training step 91
[2024-11-13 17:32:06] Training step 92
[2024-11-13 17:32:06] Training step 93
[2024-11-13 17:32:06] Training step 94
[2024-11-13 17:32:06] Training step 95
[2024-11-13 17:32:06] Training step 96
[2024-11-13 17:32:06] Training step 97
[2024-11-13 17:32:06] Training step 98
[2024-11-13 17:32:06] Training step 99
[2024-11-13 17:32:06] Training step 100
[2024-11-13 17:32:06] Training step 101
[2024-11-13 17:32:06] Training step 102
[2024-11-13 17:32:06] Training step 103
[2024-11-13 17:32:06] Training step 104
[2024-11-13 17:32:06] Training step 105
[2024-11-13 17:32:06] Training step 106
[2024-11-13 17:32:06] Training step 107
[2024-11-13 17:32:06] Training step 108
[2024-11-13 17:32:06] Training step 109
[2024-11-13 17:32:06] Training step 110
[2024-11-13 17:32:06] Training step 111
[2024-11-13 17:32:06] Training step 112
[2024-11-13 17:32:06] Training step 113
[2024-11-13 17:32:06] Training step 114
[2024-11-13 17:32:06] Training step 115
[2024-11-13 17:32:07] Training step 116
[2024-11-13 17:32:07] Training step 117
[2024-11-13 17:32:07] Training step 118
[2024-11-13 17:32:07] Training step 119
[2024-11-13 17:32:07] Training step 120
[2024-11-13 17:32:07] Training step 121
[2024-11-13 17:32:07] Training step 122
[2024-11-13 17:32:07] Training step 123
[2024-11-13 17:32:07] Training step 124
[2024-11-13 17:32:07] Training step 125
[2024-11-13 17:32:07] Training step 126
[2024-11-13 17:32:07] Training step 127
[2024-11-13 17:32:07] Training step 128
[2024-11-13 17:32:07] Training step 129
[2024-11-13 17:32:07] Training step 130
[2024-11-13 17:32:07] Training step 131
[2024-11-13 17:32:07] Training step 132
[2024-11-13 17:32:07] Training step 133
[2024-11-13 17:32:07] Training step 134
[2024-11-13 17:32:07] Training step 135
[2024-11-13 17:32:07] Training step 136
[2024-11-13 17:32:07] Training step 137
[2024-11-13 17:32:07] Training step 138
[2024-11-13 17:32:07] Training step 139
[2024-11-13 17:32:07] Training step 140
[2024-11-13 17:32:07] Training step 141
[2024-11-13 17:32:07] Training step 142
[2024-11-13 17:32:07] Training step 143
[2024-11-13 17:32:07] Training step 144
[2024-11-13 17:32:07] Training step 145
[2024-11-13 17:32:07] Training step 146
[2024-11-13 17:32:07] Training step 147
[2024-11-13 17:32:07] Training step 148
[2024-11-13 17:32:07] Training step 149
[2024-11-13 17:32:07] Training step 150
[2024-11-13 17:32:07] Training step 151
[2024-11-13 17:32:07] Training step 152
[2024-11-13 17:32:07] Training step 153
[2024-11-13 17:32:07] Training step 154
[2024-11-13 17:32:07] Training step 155
[2024-11-13 17:32:07] Training step 156
[2024-11-13 17:32:07] Training step 157
[2024-11-13 17:32:07] Training step 158
[2024-11-13 17:32:07] Training step 159
[2024-11-13 17:32:07] Training step 160
[2024-11-13 17:32:07] Training step 161
[2024-11-13 17:32:07] Training step 162
[2024-11-13 17:32:07] Training step 163
[2024-11-13 17:32:07] Training step 164
[2024-11-13 17:32:07] Training step 165
[2024-11-13 17:32:07] Training step 166
[2024-11-13 17:32:07] Training step 167
[2024-11-13 17:32:07] Training step 168
[2024-11-13 17:32:07] Training step 169
[2024-11-13 17:32:07] Training step 170
[2024-11-13 17:32:07] Training step 171
[2024-11-13 17:32:07] Training step 172
[2024-11-13 17:32:07] Training step 173
[2024-11-13 17:32:07] Training step 174
[2024-11-13 17:32:07] Training step 175
[2024-11-13 17:32:07] Training step 176
[2024-11-13 17:32:07] Training step 177
[2024-11-13 17:32:07] Training step 178
[2024-11-13 17:32:07] Training step 179
[2024-11-13 17:32:07] Training step 180
[2024-11-13 17:32:07] Training step 181
[2024-11-13 17:32:07] Training step 182
[2024-11-13 17:32:07] Training step 183
[2024-11-13 17:32:07] Training step 184
[2024-11-13 17:32:07] Training step 185
[2024-11-13 17:32:07] Training step 186
[2024-11-13 17:32:07] Training step 187
[2024-11-13 17:32:07] Training step 188
[2024-11-13 17:32:07] Training client 3
[2024-11-13 17:32:07] Training step 1
[2024-11-13 17:32:07] Training step 2
[2024-11-13 17:32:07] Training step 3
[2024-11-13 17:32:07] Training step 4
[2024-11-13 17:32:07] Training step 5
[2024-11-13 17:32:07] Training step 6
[2024-11-13 17:32:07] Training step 7
[2024-11-13 17:32:07] Training step 8
[2024-11-13 17:32:07] Training step 9
[2024-11-13 17:32:07] Training step 10
[2024-11-13 17:32:07] Training step 11
[2024-11-13 17:32:07] Training step 12
[2024-11-13 17:32:07] Training step 13
[2024-11-13 17:32:07] Training step 14
[2024-11-13 17:32:07] Training step 15
[2024-11-13 17:32:08] Training step 16
[2024-11-13 17:32:08] Training step 17
[2024-11-13 17:32:08] Training step 18
[2024-11-13 17:32:08] Training step 19
[2024-11-13 17:32:08] Training step 20
[2024-11-13 17:32:08] Training step 21
[2024-11-13 17:32:08] Training step 22
[2024-11-13 17:32:08] Training step 23
[2024-11-13 17:32:08] Training step 24
[2024-11-13 17:32:08] Training step 25
[2024-11-13 17:32:08] Training step 26
[2024-11-13 17:32:08] Training step 27
[2024-11-13 17:32:08] Training step 28
[2024-11-13 17:32:08] Training step 29
[2024-11-13 17:32:08] Training step 30
[2024-11-13 17:32:08] Training step 31
[2024-11-13 17:32:08] Training step 32
[2024-11-13 17:32:08] Training step 33
[2024-11-13 17:32:08] Training step 34
[2024-11-13 17:32:08] Training step 35
[2024-11-13 17:32:08] Training step 36
[2024-11-13 17:32:08] Training step 37
[2024-11-13 17:32:08] Training step 38
[2024-11-13 17:32:08] Training step 39
[2024-11-13 17:32:08] Training step 40
[2024-11-13 17:32:08] Training step 41
[2024-11-13 17:32:08] Training step 42
[2024-11-13 17:32:08] Training step 43
[2024-11-13 17:32:08] Training step 44
[2024-11-13 17:32:08] Training step 45
[2024-11-13 17:32:08] Training step 46
[2024-11-13 17:32:08] Training step 47
[2024-11-13 17:32:08] Training step 48
[2024-11-13 17:32:08] Training step 49
[2024-11-13 17:32:08] Training step 50
[2024-11-13 17:32:08] Training step 51
[2024-11-13 17:32:08] Training step 52
[2024-11-13 17:32:08] Training step 53
[2024-11-13 17:32:08] Training step 54
[2024-11-13 17:32:08] Training step 55
[2024-11-13 17:32:08] Training step 56
[2024-11-13 17:32:08] Training step 57
[2024-11-13 17:32:08] Training step 58
[2024-11-13 17:32:08] Training step 59
[2024-11-13 17:32:08] Training step 60
[2024-11-13 17:32:08] Training step 61
[2024-11-13 17:32:08] Training step 62
[2024-11-13 17:32:08] Training step 63
[2024-11-13 17:32:08] Training step 64
[2024-11-13 17:32:08] Training step 65
[2024-11-13 17:32:08] Training step 66
[2024-11-13 17:32:08] Training step 67
[2024-11-13 17:32:08] Training step 68
[2024-11-13 17:32:08] Training step 69
[2024-11-13 17:32:08] Training step 70
[2024-11-13 17:32:08] Training step 71
[2024-11-13 17:32:08] Training step 72
[2024-11-13 17:32:08] Training step 73
[2024-11-13 17:32:08] Training step 74
[2024-11-13 17:32:08] Training step 75
[2024-11-13 17:32:08] Training step 76
[2024-11-13 17:32:08] Training step 77
[2024-11-13 17:32:08] Training step 78
[2024-11-13 17:32:08] Training step 79
[2024-11-13 17:32:08] Training step 80
[2024-11-13 17:32:08] Training step 81
[2024-11-13 17:32:08] Training step 82
[2024-11-13 17:32:08] Training step 83
[2024-11-13 17:32:08] Training step 84
[2024-11-13 17:32:08] Training step 85
[2024-11-13 17:32:08] Training step 86
[2024-11-13 17:32:08] Training step 87
[2024-11-13 17:32:08] Training step 88
[2024-11-13 17:32:08] Training step 89
[2024-11-13 17:32:08] Training step 90
[2024-11-13 17:32:08] Training step 91
[2024-11-13 17:32:08] Training step 92
[2024-11-13 17:32:08] Training step 93
[2024-11-13 17:32:08] Training step 94
[2024-11-13 17:32:08] Training step 95
[2024-11-13 17:32:08] Training step 96
[2024-11-13 17:32:08] Training step 97
[2024-11-13 17:32:08] Training step 98
[2024-11-13 17:32:08] Training step 99
[2024-11-13 17:32:08] Training step 100
[2024-11-13 17:32:08] Training step 101
[2024-11-13 17:32:08] Training step 102
[2024-11-13 17:32:08] Training step 103
[2024-11-13 17:32:08] Training step 104
[2024-11-13 17:32:08] Training step 105
[2024-11-13 17:32:09] Training step 106
[2024-11-13 17:32:09] Training step 107
[2024-11-13 17:32:09] Training step 108
[2024-11-13 17:32:09] Training step 109
[2024-11-13 17:32:09] Training step 110
[2024-11-13 17:32:09] Training step 111
[2024-11-13 17:32:09] Training step 112
[2024-11-13 17:32:09] Training step 113
[2024-11-13 17:32:09] Training step 114
[2024-11-13 17:32:09] Training step 115
[2024-11-13 17:32:09] Training step 116
[2024-11-13 17:32:09] Training step 117
[2024-11-13 17:32:09] Training step 118
[2024-11-13 17:32:09] Training step 119
[2024-11-13 17:32:09] Training step 120
[2024-11-13 17:32:09] Training step 121
[2024-11-13 17:32:09] Training step 122
[2024-11-13 17:32:09] Training step 123
[2024-11-13 17:32:09] Training step 124
[2024-11-13 17:32:09] Training step 125
[2024-11-13 17:32:09] Training step 126
[2024-11-13 17:32:09] Training step 127
[2024-11-13 17:32:09] Training step 128
[2024-11-13 17:32:09] Training step 129
[2024-11-13 17:32:09] Training step 130
[2024-11-13 17:32:09] Training step 131
[2024-11-13 17:32:09] Training step 132
[2024-11-13 17:32:09] Training step 133
[2024-11-13 17:32:09] Training step 134
[2024-11-13 17:32:09] Training step 135
[2024-11-13 17:32:09] Training step 136
[2024-11-13 17:32:09] Training step 137
[2024-11-13 17:32:09] Training step 138
[2024-11-13 17:32:09] Training step 139
[2024-11-13 17:32:09] Training step 140
[2024-11-13 17:32:09] Training step 141
[2024-11-13 17:32:09] Training step 142
[2024-11-13 17:32:09] Training step 143
[2024-11-13 17:32:09] Training step 144
[2024-11-13 17:32:09] Training step 145
[2024-11-13 17:32:09] Training step 146
[2024-11-13 17:32:09] Training step 147
[2024-11-13 17:32:09] Training step 148
[2024-11-13 17:32:09] Training step 149
[2024-11-13 17:32:09] Training step 150
[2024-11-13 17:32:09] Training step 151
[2024-11-13 17:32:09] Training step 152
[2024-11-13 17:32:09] Training step 153
[2024-11-13 17:32:09] Training step 154
[2024-11-13 17:32:09] Training step 155
[2024-11-13 17:32:09] Training step 156
[2024-11-13 17:32:09] Training step 157
[2024-11-13 17:32:09] Training step 158
[2024-11-13 17:32:09] Training step 159
[2024-11-13 17:32:09] Training step 160
[2024-11-13 17:32:09] Training step 161
[2024-11-13 17:32:09] Training step 162
[2024-11-13 17:32:09] Training step 163
[2024-11-13 17:32:09] Training step 164
[2024-11-13 17:32:09] Training step 165
[2024-11-13 17:32:09] Training step 166
[2024-11-13 17:32:09] Training step 167
[2024-11-13 17:32:09] Training step 168
[2024-11-13 17:32:09] Training step 169
[2024-11-13 17:32:09] Training step 170
[2024-11-13 17:32:09] Training step 171
[2024-11-13 17:32:09] Training step 172
[2024-11-13 17:32:09] Training step 173
[2024-11-13 17:32:09] Training step 174
[2024-11-13 17:32:09] Training step 175
[2024-11-13 17:32:09] Training step 176
[2024-11-13 17:32:09] Training step 177
[2024-11-13 17:32:09] Training step 178
[2024-11-13 17:32:09] Training step 179
[2024-11-13 17:32:09] Training step 180
[2024-11-13 17:32:09] Training step 181
[2024-11-13 17:32:09] Training step 182
[2024-11-13 17:32:09] Training step 183
[2024-11-13 17:32:09] Training step 184
[2024-11-13 17:32:09] Training step 185
[2024-11-13 17:32:09] Training step 186
[2024-11-13 17:32:09] Training step 187
[2024-11-13 17:32:09] Training step 188
[2024-11-13 17:32:09] Training client 4
[2024-11-13 17:32:09] Training step 1
[2024-11-13 17:32:09] Training step 2
[2024-11-13 17:32:09] Training step 3
[2024-11-13 17:32:09] Training step 4
[2024-11-13 17:32:09] Training step 5
[2024-11-13 17:32:10] Training step 6
[2024-11-13 17:32:10] Training step 7
[2024-11-13 17:32:10] Training step 8
[2024-11-13 17:32:10] Training step 9
[2024-11-13 17:32:10] Training step 10
[2024-11-13 17:32:10] Training step 11
[2024-11-13 17:32:10] Training step 12
[2024-11-13 17:32:10] Training step 13
[2024-11-13 17:32:10] Training step 14
[2024-11-13 17:32:10] Training step 15
[2024-11-13 17:32:10] Training step 16
[2024-11-13 17:32:10] Training step 17
[2024-11-13 17:32:10] Training step 18
[2024-11-13 17:32:10] Training step 19
[2024-11-13 17:32:10] Training step 20
[2024-11-13 17:32:10] Training step 21
[2024-11-13 17:32:10] Training step 22
[2024-11-13 17:32:10] Training step 23
[2024-11-13 17:32:10] Training step 24
[2024-11-13 17:32:10] Training step 25
[2024-11-13 17:32:10] Training step 26
[2024-11-13 17:32:10] Training step 27
[2024-11-13 17:32:10] Training step 28
[2024-11-13 17:32:10] Training step 29
[2024-11-13 17:32:10] Training step 30
[2024-11-13 17:32:10] Training step 31
[2024-11-13 17:32:10] Training step 32
[2024-11-13 17:32:10] Training step 33
[2024-11-13 17:32:10] Training step 34
[2024-11-13 17:32:10] Training step 35
[2024-11-13 17:32:10] Training step 36
[2024-11-13 17:32:10] Training step 37
[2024-11-13 17:32:10] Training step 38
[2024-11-13 17:32:10] Training step 39
[2024-11-13 17:32:10] Training step 40
[2024-11-13 17:32:10] Training step 41
[2024-11-13 17:32:10] Training step 42
[2024-11-13 17:32:10] Training step 43
[2024-11-13 17:32:10] Training step 44
[2024-11-13 17:32:10] Training step 45
[2024-11-13 17:32:10] Training step 46
[2024-11-13 17:32:10] Training step 47
[2024-11-13 17:32:10] Training step 48
[2024-11-13 17:32:10] Training step 49
[2024-11-13 17:32:10] Training step 50
[2024-11-13 17:32:10] Training step 51
[2024-11-13 17:32:10] Training step 52
[2024-11-13 17:32:10] Training step 53
[2024-11-13 17:32:10] Training step 54
[2024-11-13 17:32:10] Training step 55
[2024-11-13 17:32:10] Training step 56
[2024-11-13 17:32:10] Training step 57
[2024-11-13 17:32:10] Training step 58
[2024-11-13 17:32:10] Training step 59
[2024-11-13 17:32:10] Training step 60
[2024-11-13 17:32:10] Training step 61
[2024-11-13 17:32:10] Training step 62
[2024-11-13 17:32:10] Training step 63
[2024-11-13 17:32:10] Training step 64
[2024-11-13 17:32:10] Training step 65
[2024-11-13 17:32:10] Training step 66
[2024-11-13 17:32:10] Training step 67
[2024-11-13 17:32:10] Training step 68
[2024-11-13 17:32:10] Training step 69
[2024-11-13 17:32:10] Training step 70
[2024-11-13 17:32:10] Training step 71
[2024-11-13 17:32:10] Training step 72
[2024-11-13 17:32:10] Training step 73
[2024-11-13 17:32:10] Training step 74
[2024-11-13 17:32:10] Training step 75
[2024-11-13 17:32:10] Training step 76
[2024-11-13 17:32:10] Training step 77
[2024-11-13 17:32:10] Training step 78
[2024-11-13 17:32:10] Training step 79
[2024-11-13 17:32:10] Training step 80
[2024-11-13 17:32:10] Training step 81
[2024-11-13 17:32:10] Training step 82
[2024-11-13 17:32:10] Training step 83
[2024-11-13 17:32:11] Training step 84
[2024-11-13 17:32:11] Training step 85
[2024-11-13 17:32:11] Training step 86
[2024-11-13 17:32:11] Training step 87
[2024-11-13 17:32:11] Training step 88
[2024-11-13 17:32:11] Training step 89
[2024-11-13 17:32:11] Training step 90
[2024-11-13 17:32:11] Training step 91
[2024-11-13 17:32:11] Training step 92
[2024-11-13 17:32:11] Training step 93
[2024-11-13 17:32:11] Training step 94
[2024-11-13 17:32:11] Training step 95
[2024-11-13 17:32:11] Training step 96
[2024-11-13 17:32:11] Training step 97
[2024-11-13 17:32:11] Training step 98
[2024-11-13 17:32:11] Training step 99
[2024-11-13 17:32:11] Training step 100
[2024-11-13 17:32:11] Training step 101
[2024-11-13 17:32:11] Training step 102
[2024-11-13 17:32:11] Training step 103
[2024-11-13 17:32:11] Training step 104
[2024-11-13 17:32:11] Training step 105
[2024-11-13 17:32:11] Training step 106
[2024-11-13 17:32:11] Training step 107
[2024-11-13 17:32:11] Training step 108
[2024-11-13 17:32:11] Training step 109
[2024-11-13 17:32:11] Training step 110
[2024-11-13 17:32:11] Training step 111
[2024-11-13 17:32:11] Training step 112
[2024-11-13 17:32:11] Training step 113
[2024-11-13 17:32:11] Training step 114
[2024-11-13 17:32:11] Training step 115
[2024-11-13 17:32:11] Training step 116
[2024-11-13 17:32:11] Training step 117
[2024-11-13 17:32:11] Training step 118
[2024-11-13 17:32:11] Training step 119
[2024-11-13 17:32:11] Training step 120
[2024-11-13 17:32:11] Training step 121
[2024-11-13 17:32:11] Training step 122
[2024-11-13 17:32:11] Training step 123
[2024-11-13 17:32:11] Training step 124
[2024-11-13 17:32:11] Training step 125
[2024-11-13 17:32:11] Training step 126
